"description","qid","item","wiki_name","name","label"
"first citizen of the city of Lincoln","Q16843760","http://www.wikidata.org/entity/Q16843760","List of mayors of Lincoln, England","Mayor of Lincoln, England","1"
"Art gallery in Barcelona, Spain","Q543597","http://www.wikidata.org/entity/Q543597","Mayoral Gallery","Mayoral Gallery","1"
"venerated structure in traditional Islam","Q3352470","http://www.wikidata.org/entity/Q3352470","Mazar (mausoleum)","mazar","1"
"ancient Persian religion at the origin of Zoroastrianism","Q3303092","http://www.wikidata.org/entity/Q3303092","Mazdaism","mazdaism","1"
"vocalist who raps; role of a rapper","Q73399344","http://www.wikidata.org/entity/Q73399344","MC (hip hop)","MC","0"
"American media, entertainment conglomerate","Q304509","http://www.wikidata.org/entity/Q304509","MCA Inc.","MCA Inc.","2"
"streaming service","Q87990770","http://www.wikidata.org/entity/Q87990770","Means (company)","Means.tv","0"
"culinary name for animal flesh eaten as food","Q10990","http://www.wikidata.org/entity/Q10990","Meat","meat","0"
"traditional specialities in the European Union (PGI) for beef originating from the Province of Ávila, in Spain","Q5753009","http://www.wikidata.org/entity/Q5753009","Carne de Ávila","Meat of Ávila","1"
"company owning multiple mass media companies","Q1916382","http://www.wikidata.org/entity/Q1916382","Media conglomerate","media conglomerate","0"
"building type in Chile","Q6806015","http://www.wikidata.org/entity/Q6806015","Mediagua","mediagua","1"
"institution responsible for co-ordinating and funding medical research in the United Kingdom","Q746879","http://www.wikidata.org/entity/Q746879","Medical Research Council (United Kingdom)","Medical Research Council","1"
"a traditional healer and spiritual leader","Q266750","http://www.wikidata.org/entity/Q266750","Medicine man","medicine man","2"
"Native American spiritual concept and stone monument type","Q1060893","http://www.wikidata.org/entity/Q1060893","Medicine wheel","medicine wheel","1"
"Epoch of European art","Q3624153","http://www.wikidata.org/entity/Q3624153","Medieval art","medieval art","2"
"football game invented and played in Europe during the Middle Ages","Q3293439","http://www.wikidata.org/entity/Q3293439","Medieval football","Medieval football","1"
"philosophical development during the medieval period","Q192292","http://www.wikidata.org/entity/Q192292","Medieval philosophy","medieval philosophy","2"
"plays and playmaking in the Middle Ages","Q2247727","http://www.wikidata.org/entity/Q2247727","Medieval theatre","medieval theatre","1"
"distinct city section found in many North African cities","Q1128906","http://www.wikidata.org/entity/Q1128906","Medina quarter","medina quarter","1"
"loosely defined region of lands around the Mediterranean Sea","Q72499","http://www.wikidata.org/entity/Q72499","Mediterranean basin","Mediterranean Basin","0"
"film with a duration between 30 and 60 minutes","Q24865","http://www.wikidata.org/entity/Q24865","Medium-length film","medium-length film","0"
"2007 animated film directed by Stephen J. Anderson","Q221679","http://www.wikidata.org/entity/Q221679","Meet the Robinsons","Meet the Robinsons","2"
"academic journal covering multiple disciplines","Q18215934","http://www.wikidata.org/entity/Q18215934","Mega journal","mega journal","0"
"US record label","Q477213","http://www.wikidata.org/entity/Q477213","Megaforce Records","Megaforce Records","2"
"annual sports competition","Q6809912","http://www.wikidata.org/entity/Q6809912","Meichu Game","Mei-Chu Tournament","1"
"traditional Assamese attire","Q6810567","http://www.wikidata.org/entity/Q6810567","Mekhela Sador","Mekhela chador","1"
"food","Q951187","http://www.wikidata.org/entity/Q951187","Mekitsa","Mekitsa","1"
"sahrawi traditional woman dress","Q119144225","http://www.wikidata.org/entity/Q119144225","Melhfa","melhfa","1"
"subgenre of death metal","Q253918","http://www.wikidata.org/entity/Q253918","Melodic death metal","melodic death metal","2"
"film genre","Q1919632","http://www.wikidata.org/entity/Q1919632","Melodrama (film genre)","melodrama","0"
"music festival","Q919794","http://www.wikidata.org/entity/Q919794","Meltdown (festival)","Meltdown","1"
"Wikimedia list article","Q65043021","http://www.wikidata.org/entity/Q65043021","Members of the Australian House of Representatives, 2019–2022","Members of the Australian House of Representatives, 2019–2022","1"
"Wikimedia list article","Q112483026","http://www.wikidata.org/entity/Q112483026","Members of the Australian House of Representatives, 2022–2025","Members of the Australian House of Representatives, 2022–2025","1"
"area or object, smaller than a monument, which serves as a focus for memory of something","Q5003624","http://www.wikidata.org/entity/Q5003624","Memorial","memorial","0"
"architectural monument in the form of gates and arches","Q6815560","http://www.wikidata.org/entity/Q6815560","Memorial gates and arches","memorial gate or arch","0"
"type of museum dedicated to a prominent event, figure or organization","Q105725005","http://www.wikidata.org/entity/Q105725005","Memorial museum","memorial museum","0"
"museum in Sighetu Marmației, Romania","Q347676","http://www.wikidata.org/entity/Q347676","Memorial of the Victims of Communism and of the Resistance","Memorial of the Victims of Communism and of the Resistance","1"
"1995 Japanese animated science fiction anthology film","Q564403","http://www.wikidata.org/entity/Q564403","Memories (1995 film)","Memories","2"
"Legal provision governing interpretation of historical events","Q588394","http://www.wikidata.org/entity/Q588394","Memory law","memory laws","1"
"liturgical book used by the Eastern Orthodox Church","Q2396513","http://www.wikidata.org/entity/Q2396513","Menaion","Menaion","1"
"common name for forage fish of the genera Brevoortia and Ethmidium","Q218526","http://www.wikidata.org/entity/Q218526","Menhaden","menhaden","0"
"beverage","Q6818708","http://www.wikidata.org/entity/Q6818708","Mercy (drink)","Mercy","0"
"American technologist, science fiction author, and journalist","Q14105","http://www.wikidata.org/entity/Q14105","Meredith L. Patterson","Meredith L. Patterson","2"
"music genre originating in the Dominican Republic","Q282131","http://www.wikidata.org/entity/Q282131","Merengue music","merengue","2"
"style of Dominican dance","Q4413211","http://www.wikidata.org/entity/Q4413211","Merengue (dance)","Merengue","2"
"Israeli political party","Q239951","http://www.wikidata.org/entity/Q239951","Meretz","Meretz","1"
"architectural style from the South of France","Q3111491","http://www.wikidata.org/entity/Q3111491","Southern French Gothic","Meridional Gothic","1"
"elevated area of land with a flat top and sides that are usually steep cliffs","Q623319","http://www.wikidata.org/entity/Q623319","Mesa","mesa","0"
"Polish concert tour with various artists","Q11787926","http://www.wikidata.org/entity/Q11787926","Męskie Granie","Meskie Granie","1"
"Swiss extreme metal band","Q112751","http://www.wikidata.org/entity/Q112751","Messiah (Swiss band)","Messiah","1"
"Religious movement that combines a Jewish way of life with belief in Jesus as Messiah","Q216952","http://www.wikidata.org/entity/Q216952","Messianic Judaism","Messianic Judaism","2"
"film genre","Q3355734","http://www.wikidata.org/entity/Q3355734","Metacinema","metacinema","0"
"genre of fiction about fiction","Q531067","http://www.wikidata.org/entity/Q531067","Metafiction","metafiction","0"
"Australian heavy metal music festival","Q571448","http://www.wikidata.org/entity/Q571448","Metal for the Brain","Metal for the Brain","1"
"building materials","Q2449951","http://www.wikidata.org/entity/Q2449951","Metal profiles","Metal profiles","0"
"dark morality play doujinshi by ShindoL","Q63980628","http://www.wikidata.org/entity/Q63980628","Metamorphosis (manga)","Metamorphosis","2"
"metre gauge suburban rail service in northern Portugal","Q29685","http://www.wikidata.org/entity/Q29685","Metro de Mirandela","Metro de Mirandela","1"
"commuter rail service in New York and Connecticut","Q125908","http://www.wikidata.org/entity/Q125908","Metro-North Railroad","Metro-North Railroad","1"
"German publishing house","Q821732","http://www.wikidata.org/entity/Q821732","Metropol Verlag","Metropol Verlag","1"
"Japanese manga","Q2067551","http://www.wikidata.org/entity/Q2067551","Metropolis (manga)","Metropolis","2"
"art museum in New York City, United States","Q160236","http://www.wikidata.org/entity/Q160236","Metropolitan Museum of Art","Metropolitan Museum of Art","2"
"Prime Minister of Denmark since 2019","Q5015","http://www.wikidata.org/entity/Q5015","Mette Frederiksen","Mette Frederiksen","2"
"Coca-Cola bottled in Mexico","Q6825758","http://www.wikidata.org/entity/Q6825758","Mexican Coke","Mexican Coke","2"
"US policy restricting NGOs use of non-US government funds in other countries","Q1138492","http://www.wikidata.org/entity/Q1138492","Mexico City policy","Mexico City Policy","2"
"record label","Q480171","http://www.wikidata.org/entity/Q480171","MFS (label)","MFS","0"
"county in Taiwan(Republic of China)","Q63706","http://www.wikidata.org/entity/Q63706","Miaoli County","Miaoli County","1"
"American actor","Q64505","http://www.wikidata.org/entity/Q64505","Micah Sloat","Micah Sloat","1"
"Swiss academic","Q121450","http://www.wikidata.org/entity/Q121450","Micha Brumlik","Micha Brumlik","1"
"French drug trafficker","Q3308653","http://www.wikidata.org/entity/Q3308653","Michaël Blanc","Michael Blanc","1"
"British science writer","Q108796","http://www.wikidata.org/entity/Q108796","Michael Gross (science writer)","Michael Gross","1"
"American singer, songwriter, and dancer (1958–2009)","Q2831","http://www.wikidata.org/entity/Q2831","Michael Jackson","Michael Jackson","2"
"English film director (1905-1990)","Q55234","http://www.wikidata.org/entity/Q55234","Michael Powell","Michael Powell","2"
"Austrian musician","Q85168","http://www.wikidata.org/entity/Q85168","Michael Schnitzler","Michael Schnitzler","1"
"Czech footballer","Q380115","http://www.wikidata.org/entity/Q380115","Michal Bílek","Michal Bílek","1"
"French writer","Q103114","http://www.wikidata.org/entity/Q103114","Michel Houellebecq","Michel Houellebecq","2"
"animation technique","Q1424680","http://www.wikidata.org/entity/Q1424680","Mickey Mousing","Mickey Mousing","2"
"small animal which can be seen only under the microscope","Q16977725","http://www.wikidata.org/entity/Q16977725","Micro-animal","micro-animal","0"
"painting using microbe cultures","Q5550962","http://www.wikidata.org/entity/Q5550962","Microbial art","microbial art","0"
"person who investigates the characteristics of microscopic organisms","Q3779582","http://www.wikidata.org/entity/Q3779582","Microbiologist","microbiologist","0"
"residential neighborhood in Soviet Union and Russia","Q604435","http://www.wikidata.org/entity/Q604435","Microdistrict","microdistrict","1"
"microscopic living organism","Q39833","http://www.wikidata.org/entity/Q39833","Microorganism","microorganism","0"
"term for a small political party","Q106153896","http://www.wikidata.org/entity/Q106153896","Microparty","Microparty","0"
"various philosophies of the Middle East regions","Q28454636","http://www.wikidata.org/entity/Q28454636","Middle Eastern philosophy","Middle Eastern philosophy","2"
"annual American college basketball event","Q6842710","http://www.wikidata.org/entity/Q6842710","Midnight Madness (basketball)","Midnight Madness","1"
"annual film festival in Sodankylä, Finland","Q1436164","http://www.wikidata.org/entity/Q1436164","Midnight Sun Film Festival","Midnight Sun Film Festival","2"
"annually award that honours the lifetime achievement of an outstanding writer in the Spanish language","Q81466","http://www.wikidata.org/entity/Q81466","Miguel de Cervantes Prize","Miguel de Cervantes Prize","2"
"a greeting in te reo Māori","Q127417041","http://www.wikidata.org/entity/Q127417041","Mihi (Māori culture)","mihi","1"
"German chef","Q1933546","http://www.wikidata.org/entity/Q1933546","Mike Süsser","Mike Süsser","1"
"magazine","Q201845","http://www.wikidata.org/entity/Q201845","Mike, der Taschengeldexperte","Mike, der Taschengeldexperte","1"
"Latvian-American dancer, choreographer and actor","Q295420","http://www.wikidata.org/entity/Q295420","Mikhail Baryshnikov","Mikhail Baryshnikov","2"
"Russian polymath (1711-1765)","Q58720","http://www.wikidata.org/entity/Q58720","Mikhail Lomonosov","Mikhail Lomonosov","2"
"Finnish computer magazine","Q7736","http://www.wikidata.org/entity/Q7736","MikroBitti","Mikrobitti","1"
"Czech former professional ice hockey player","Q1388555","http://www.wikidata.org/entity/Q1388555","Milan Chalupa","Milan Chalupa","1"
"Czech ice hockey player (1950–2014)","Q1386108","http://www.wikidata.org/entity/Q1386108","Milan Kajkl","Milan Kajkl","1"
"annual Australian literature award","Q996","http://www.wikidata.org/entity/Q996","Miles Franklin Award","Miles Franklin Literary Award","1"
"structure designed to house functions performed by a military unit","Q6852233","http://www.wikidata.org/entity/Q6852233","Military building","military building","0"
"government administrated by military forces","Q1197588","http://www.wikidata.org/entity/Q1197588","Military government","military government","0"
"Syrian intelligence agency","Q334481","http://www.wikidata.org/entity/Q334481","Military Intelligence Directorate (Syria)","Military Intelligence Division (Syria)","1"
"body of laws and procedures governing members of the armed forces","Q28737","http://www.wikidata.org/entity/Q28737","Military justice","military law","0"
"forms of competitive activity, practiced by the military","Q6857865","http://www.wikidata.org/entity/Q6857865","Military sports","military sports","0"
"civilian municipality economically dependent upon nearby military installation","Q620509","http://www.wikidata.org/entity/Q620509","Military town","military town","0"
"white liquid produced by the mammary glands of mammals","Q8495","http://www.wikidata.org/entity/Q8495","Milk","milk","0"
"French pastry","Q12491","http://www.wikidata.org/entity/Q12491","Mille-feuille","mille-feuille","2"
"original name of a large dome-shaped building in South East London, England","Q29014","http://www.wikidata.org/entity/Q29014","Millennium Dome","Millennium Dome","1"
"French Animation Studio in Paris","Q3314346","http://www.wikidata.org/entity/Q3314346","Millimages","Millimages","2"
"expressionist modernist poet, author, and diplomat from Austria-Hungary","Q31215","http://www.wikidata.org/entity/Q31215","Miloš Crnjanski","Miloš Crnjanski","1"
"Croatian football official and judge (1884–1971)","Q382478","http://www.wikidata.org/entity/Q382478","Milovan Zoričić","Milovan Zoričić","1"
"theatrical genre, performance art","Q39818","http://www.wikidata.org/entity/Q39818","Mime","mime","2"
"water from a mineral spring","Q178921","http://www.wikidata.org/entity/Q178921","Mineral water","mineral water","0"
"large institutional building","Q6864436","http://www.wikidata.org/entity/Q6864436","Miners' institute","miners' institute","1"
"painting by Peter Paul Rubens, National Gallery","Q611583","http://www.wikidata.org/entity/Q611583","Minerva Protecting Peace from Mars","Minerva Protects Pax from Mars","2"
"branch of law relating to the legal requirements affecting minerals and mining","Q427257","http://www.wikidata.org/entity/Q427257","Mining law","mining law","0"
"former political groupings in Western Australia","Q28924267","http://www.wikidata.org/entity/Q28924267","Ministerialists and Oppositionists (Western Australian groupings)","Ministerialists and Oppositionists","1"
"type of top-level division of public administration","Q192350","http://www.wikidata.org/entity/Q192350","Ministry (government department)","ministry","0"
"type of ministry","Q12813215","http://www.wikidata.org/entity/Q12813215","Ministry of Labour","ministry of labour","0"
"tradicional culture of Andes","Q544888","http://www.wikidata.org/entity/Q544888","Minka (communal work)","Minka","1"
"legislative political position or the leader of the minority party in a legislative body","Q6869252","http://www.wikidata.org/entity/Q6869252","Minority leader","minority leader","0"
"medieval profession; type of musician, singer in medieval Europe","Q841192","http://www.wikidata.org/entity/Q841192","Minstrel","minstrel","1"
"written details of a meeting","Q2085515","http://www.wikidata.org/entity/Q2085515","Minutes","minutes","0"
"German photographer (1873-1929)","Q103057","http://www.wikidata.org/entity/Q103057","Minya Diez-Dührkoop","Minya Diez-Dührkoop","1"
"notification given by American police to criminal suspects in police custody advising them of their rights, or similar procedure in other jurisdictions","Q312199","http://www.wikidata.org/entity/Q312199","Miranda warning","Miranda warning","2"
"Romanian-American historian, writer, philosopher and professor at the University of Chicago","Q41590","http://www.wikidata.org/entity/Q41590","Mircea Eliade","Mircea Eliade","2"
"flavor base made of vegetables","Q1509725","http://www.wikidata.org/entity/Q1509725","Mirepoix","mirepoix","2"
"hypothetical form of life with mirror-reflected molecular building blocks (proteins, nucleic acids, etc.)","Q30314118","http://www.wikidata.org/entity/Q30314118","Mirror life","mirror life","0"
"school of Ikebana (Japanese floral art)","Q11519602","http://www.wikidata.org/entity/Q11519602","Mishō-ryū","Mishō-ryū","2"
"Romanian-German singer, songwriter and musician","Q36995","http://www.wikidata.org/entity/Q36995","Miss Platnum","Miss Platnum","2"
"river in northeastern Ontario, Canada","Q59480","http://www.wikidata.org/entity/Q59480","Missinaibi River","Missinaibi River","1"
"neighborhood in San Francisco, California, USA","Q7469","http://www.wikidata.org/entity/Q7469","Mission District, San Francisco","Mission District","1"
"Korean beverage","Q1038556","http://www.wikidata.org/entity/Q1038556","Misu","Misu","2"
"Inca forced resettlement policy","Q931781","http://www.wikidata.org/entity/Q931781","Mitma","Mitma","1"
"public broadcaster for the federal states of Thuringia, Saxony and Saxony-Anhalt","Q158948","http://www.wikidata.org/entity/Q158948","Mitteldeutscher Rundfunk","Mitteldeutscher Rundfunk","1"
"Hasidic Jewish custom","Q2920724","http://www.wikidata.org/entity/Q2920724","Mitzvah tantz","Mitzvah tantz","1"
"musical group exclusively composed of both male and female musicians","Q123334579","http://www.wikidata.org/entity/Q123334579","Mixed-gender band","mixed-gender band","0"
"capacity to switch between trophic modes","Q585902","http://www.wikidata.org/entity/Q585902","Mixotroph","mixotroph","0"
"2007 film","Q1096677","http://www.wikidata.org/entity/Q1096677","Miyori no Mori","Miyori no Mori","1"
"folkloric dance","Q12242512","http://www.wikidata.org/entity/Q12242512","Mezmar","Mizmar","1"
"soccer streaming service","Q115804107","http://www.wikidata.org/entity/Q115804107","MLS Season Pass","MLS Season Pass","2"
"Swaziland human rights defender","Q131544854","http://www.wikidata.org/entity/Q131544854","Mlungisi Makhanya","Mlungisi Makhanya","1"
"open-fingered gloves used in mixed martial arts bouts","Q6716747","http://www.wikidata.org/entity/Q6716747","MMA gloves","MMA gloves","0"
"Indonesian multinational conglomerate","Q4900880","http://www.wikidata.org/entity/Q4900880","MNC Asia Holding","MNC Corporation","2"
"individual with the ability to remember and recall unusually long lists of data","Q6885897","http://www.wikidata.org/entity/Q6885897","Mnemonist","mnemonist","0"
"ingredient made from palm nuts","Q2466774","http://www.wikidata.org/entity/Q2466774","Moambe","moambe","1"
"Type of digital comic","Q6887078","http://www.wikidata.org/entity/Q6887078","Mobile comic","Mobile comic","0"
"television watched on a cell phone","Q2826075","http://www.wikidata.org/entity/Q2826075","Mobile television","Mobile television","0"
"municipality in the state of São Paulo in Brazil","Q1760484","http://www.wikidata.org/entity/Q1760484","Mococa","Mococa","1"
"stop motion animation","Q6888309","http://www.wikidata.org/entity/Q6888309","Model animation","model animation","0"
"organisms used to study biology across species","Q213907","http://www.wikidata.org/entity/Q213907","Model organism","model organism","0"
"chairperson of the highest court of a Presbyterian or Reformed church","Q65241330","http://www.wikidata.org/entity/Q65241330","Moderator of the General Assembly","moderator","2"
"poetry written after the revival of the Hebrew language","Q6888692","http://www.wikidata.org/entity/Q6888692","Modern Hebrew poetry","Modern Hebrew poetry","2"
"members of a school of grammarian philosophy","Q11542004","http://www.wikidata.org/entity/Q11542004","Modistae","Modistae","1"
"publisher","Q832101","http://www.wikidata.org/entity/Q832101","Moeck Musikinstrumente + Verlag","Moeck Musikinstrumente + Verlag","1"
"capital and the largest city of Somalia","Q2449","http://www.wikidata.org/entity/Q2449","Mogadishu","Mogadishu","1"
"Austrian dessert","Q872611","http://www.wikidata.org/entity/Q872611","Mohr im Hemd","Mohr im Hemd","1"
"Iranian film director, writer, editor, and producer","Q55211","http://www.wikidata.org/entity/Q55211","Mohsen Makhmalbaf","Mohsen Makhmalbaf","2"
"greeting","Q1943034","http://www.wikidata.org/entity/Q1943034","Moin","Moin","1"
"mountain of the Swiss Prealps","Q16586","http://www.wikidata.org/entity/Q16586","Moléson","Moléson","1"
"caballo","Q1049240","http://www.wikidata.org/entity/Q1049240","Castle of Molina de Aragón","Molina de Aragón Castle","1"
"building in Shanghai","Q23161","http://www.wikidata.org/entity/Q23161","Moller Villa","Moller Villa","1"
"Chinese concept bookstore chain brand","Q16259482","http://www.wikidata.org/entity/Q16259482","Momi cafe","Momicafe","1"
"oil painting by Leonardo da Vinci, Louvre","Q12418","http://www.wikidata.org/entity/Q12418","Mona Lisa","Mona Lisa","2"
"international magazine written in Esperanto","Q670869","http://www.wikidata.org/entity/Q670869","Monato","Monato","0"
"film genre; exploitation documentary film","Q1474387","http://www.wikidata.org/entity/Q1474387","Mondo film","mondo film","1"
"Thai architectural form","Q1944289","http://www.wikidata.org/entity/Q1944289","Mondop","Mondop","1"
"popular uprisal against Monaco's ruler in 1910","Q4301694","http://www.wikidata.org/entity/Q4301694","Monégasque Revolution","Monegasque Revolution","1"
"gesture used to hint at finances","Q122333039","http://www.wikidata.org/entity/Q122333039","Money gesture","Money gesture","0"
"Italian actress, director and playwright","Q368627","http://www.wikidata.org/entity/Q368627","Monica Guerritore","Monica Guerritore","1"
"view that attributes oneness or singleness to a concept","Q178801","http://www.wikidata.org/entity/Q178801","Monism","monism","0"
"dance","Q6900705","http://www.wikidata.org/entity/Q6900705","Monkey (dance)","monkey","0"
"painting that primarily employs only one color, possibly with hue changing across a surface and other texture and nuance","Q846561","http://www.wikidata.org/entity/Q846561","Monochrome painting","monochrome painting","0"
"specialist work of writing on a single subject or an aspect of a subject","Q193495","http://www.wikidata.org/entity/Q193495","Monograph","monograph","0"
"christological term and doctrine which emphasizes the one holy, divine aspect and nature of Christ","Q183091","http://www.wikidata.org/entity/Q183091","Monophysitism","Monophysitism","0"
"circular colonnade supporting a roof but without any walls","Q60129","http://www.wikidata.org/entity/Q60129","Monopteros","monopteros","0"
"type of local economy","Q1131233","http://www.wikidata.org/entity/Q1131233","Monotown","monotown","1"
"highest mountain in the Alps","Q583","http://www.wikidata.org/entity/Q583","Mont Blanc","Mont Blanc","0"
"mountain in the Alps","Q30415","http://www.wikidata.org/entity/Q30415","Mont Maudit","Mont Maudit","0"
"2nd century Christian movement","Q138681","http://www.wikidata.org/entity/Q138681","Montanism","Montanism","1"
"building in Junee, New South Wales, Australia","Q717637","http://www.wikidata.org/entity/Q717637","Monte Cristo Homestead","Monte Cristo Homestead","1"
"mountain in the Lepontine Alps","Q16543","http://www.wikidata.org/entity/Q16543","Monte San Salvatore","Monte San Salvatore","1"
"international agreement from the 2002 UN Monterrey Conference","Q1946136","http://www.wikidata.org/entity/Q1946136","Monterrey Consensus","Monterrey Consensus","0"
"magazine published regularly once a month","Q11780435","http://www.wikidata.org/entity/Q11780435","Monthly magazine","monthly magazine","0"
"1975 film directed by Terry Gilliam and Terry Jones","Q25043","http://www.wikidata.org/entity/Q25043","Monty Python and the Holy Grail","Monty Python and the Holy Grail","2"
"1979 film directed by Terry Jones","Q24953","http://www.wikidata.org/entity/Q24953","Monty Python's Life of Brian","Monty Python’s Life of Brian","2"
"1983 film directed by Terry Jones","Q24980","http://www.wikidata.org/entity/Q24980","Monty Python's The Meaning of Life","Monty Python's The Meaning of Life","2"
"Wikimedia disambiguation page","Q766371","http://www.wikidata.org/entity/Q766371","Monument (disambiguation)","Monument","0"
"sculpture in Vienna by Alfred Hrdlicka","Q1255665","http://www.wikidata.org/entity/Q1255665","Memorial against war and fascism","Monument against war and fascism","1"
"planned national German monument in Berlin","Q830925","http://www.wikidata.org/entity/Q830925","Monument to Freedom and Unity","Monument to Freedom and Unity","1"
"monument in Freedom Square in Porto, Portugal","Q11783","http://www.wikidata.org/entity/Q11783","Monument to Pedro IV (Porto)","Monument to Pedro IV (Porto)","1"
"historical monument in Leipzig, Germany","Q699448","http://www.wikidata.org/entity/Q699448","Monument to the Battle of the Nations","Monument to the Battle of the Nations","1"
"monument in People's Republic of China","Q1090800","http://www.wikidata.org/entity/Q1090800","Monument to the Peaceful Liberation of Tibet","Monument to the Peaceful Liberation of Tibet","1"
"monument in Beijing, China","Q536955","http://www.wikidata.org/entity/Q536955","Monument to the People's Heroes","Monument to the People's Heroes","1"
"monument in Moscow, Russia","Q1100798","http://www.wikidata.org/entity/Q1100798","Monument to Yuri Gagarin","monument to Yuri Gagarin","1"
"large sculpture","Q3476533","http://www.wikidata.org/entity/Q3476533","Monumental sculpture","monumental sculpture","0"
"Japanese animation studio","Q3544094","http://www.wikidata.org/entity/Q3544094","Mook Animation","Mook Animation","2"
"tree grown from one of the 500 seeds taken into orbit around the Moon by Stuart Roosa during the Apollo 14 mission in 1971","Q6907628","http://www.wikidata.org/entity/Q6907628","Moon tree","Moon Tree","2"
"religious movement in the United States","Q6908412","http://www.wikidata.org/entity/Q6908412","Moorish Orthodox Church of America","Moorish Orthodox Church of America","1"
"US religious movement founded in the early 20th century Noble Drew Ali","Q2400211","http://www.wikidata.org/entity/Q2400211","Moorish Science Temple of America","Moorish Science Temple of America","1"
"Howard University research center that documents the Black experience throughout the African Diaspora","Q2945395","http://www.wikidata.org/entity/Q2945395","Moorland–Spingarn Research Center","Moorland–Spingarn Research Center","1"
"killings in Greater Manchester, England","Q16468","http://www.wikidata.org/entity/Q16468","Moors murders","Moors murders","1"
"river in northeastern Ontario flowing to James Bay","Q59446","http://www.wikidata.org/entity/Q59446","Moose River (Ontario)","Moose River","1"
"ecclesiastical architectural style","Q1938594","http://www.wikidata.org/entity/Q1938594","Morava architectural school","Morava architectural school","1"
"Bookstore in Pennsylvania, United States","Q6909335","http://www.wikidata.org/entity/Q6909335","Moravian Book Shop","Moravian Book Shop","1"
"modern revival of the ethnic religion of the Mordvins","Q17014295","http://www.wikidata.org/entity/Q17014295","Erzyan native religion","Mordvin native religion","1"
"American actor and producer (born 1937)","Q48337","http://www.wikidata.org/entity/Q48337","Morgan Freeman","Morgan Freeman","2"
"castle in Moritzburg, Saxony, Germany","Q156803","http://www.wikidata.org/entity/Q156803","Moritzburg Castle","Moritzburg Castle","1"
"political group in the Philippines","Q59938","http://www.wikidata.org/entity/Q59938","Moro National Liberation Front","Moro National Liberation Front","1"
"long, coatlike garment, traditionally fastened at the waist with a sash","Q837185","http://www.wikidata.org/entity/Q837185","Moroccan kaftan","Moroccan kaftan","2"
"method of animating computer generated imagery","Q3821178","http://www.wikidata.org/entity/Q3821178","Morph target animation","Morph target animation","0"
"German record label","Q474113","http://www.wikidata.org/entity/Q474113","Morr Music","Morr Music","1"
"English performance folk dance","Q1900271","http://www.wikidata.org/entity/Q1900271","Morris dance","Morris dance","2"
"medium-sized tree","Q44789","http://www.wikidata.org/entity/Q44789","Morus (plant)","Morus","0"
"Cornish saint","Q2500792","http://www.wikidata.org/entity/Q2500792","Morwenna","Morwenna","1"
"regional style of art from the Meuse river valley","Q1882338","http://www.wikidata.org/entity/Q1882338","Mosan art","Mosan art","1"
"group founded by Georgy Shchedrovitsky","Q16678072","http://www.wikidata.org/entity/Q16678072","Moscow Methodological Circle","Moscow's methodological circle","1"
"Abrahamic prophet said to have led the Israelites out of Egypt","Q9077","http://www.wikidata.org/entity/Q9077","Moses","Moses","0"
"Soviet and Russian film company","Q141336","http://www.wikidata.org/entity/Q141336","Mosfilm","Mosfilm","2"
"magazine","Q685331","http://www.wikidata.org/entity/Q685331","Moskvityanin","Moskvityanin","1"
"fine net used to exclude mosquitos and other biting insects","Q696265","http://www.wikidata.org/entity/Q696265","Mosquito net","mosquito net","0"
"tracking procedure which makes it possible to detect any type of movement and convert it to a digital format","Q676252","http://www.wikidata.org/entity/Q676252","Motion capture","motion capture","0"
"garment that records the body movements of the wearer","Q28136501","http://www.wikidata.org/entity/Q28136501","Motion capture suit","motion capture suit","0"
"form of animation","Q3325189","http://www.wikidata.org/entity/Q3325189","Motion comic","motion comic","0"
"costume of a court jester","Q6917910","http://www.wikidata.org/entity/Q6917910","Motley","Motley","2"
"Japanese manga series","Q111906228","http://www.wikidata.org/entity/Q111906228","Motokare Retry","Motokare Retry","2"
"self-propelled wheeled vehicle","Q752870","http://www.wikidata.org/entity/Q752870","Motor vehicle","motor vehicle","0"
"government agency that administers vehicle registration and driver licensing","Q539809","http://www.wikidata.org/entity/Q539809","Department of motor vehicles","motor vehicle registration agency","0"
"typically carries one passenger, who ""rides pillion"" behind the motorcycle operator","Q1233750","http://www.wikidata.org/entity/Q1233750","Motorcycle taxi","motorcycle taxi","0"
"sporting competition and recreation activities which primarily involve the use of motorised vehicles","Q5367","http://www.wikidata.org/entity/Q5367","Motorsport","motorsport","0"
"mountain in Alaska, United States","Q48691","http://www.wikidata.org/entity/Q48691","Mount Bona","Mount Bona","1"
"volcano in the Saint Elias Mountains and the Wrangell Volcanic Field of eastern Alaska","Q48689","http://www.wikidata.org/entity/Q48689","Mount Churchill","Mount Churchill","0"
"volcano in Turkey","Q126804","http://www.wikidata.org/entity/Q126804","Mount Erciyes","Mount Erciyes","1"
"Earth's highest mountain above sea level, located in the Mahalangur Himal sub-range of the Himalayas","Q513","http://www.wikidata.org/entity/Q513","Mount Everest","Mount Everest","0"
"volcano on the southwestern coast of Italy","Q524","http://www.wikidata.org/entity/Q524","Mount Vesuvius","Mount Vesuvius","2"
"river that runs through mountains, in a narrow, deep valley with steep banks, rocky stream bed, and accumulated rock debris","Q12099220","http://www.wikidata.org/entity/Q12099220","Mountain river","mountain river","0"
